id;cin;num_carte_etud;email;last_name;first_name;class_id
1;"91529959";cheerfully rebel;Colten36@hotmail.com;Donnelly;Torrance;haircut prowl
2;"24321844";into gleeful;Alice.Bradtke41@hotmail.com;Funk;Lonie;ideal as
3;"69995728";while after;Terrence_OReilly@hotmail.com;Emmerich;Elian;solicit heroine tackle
4;"37755080";crisp fooey arid;Mattie.Lakin28@gmail.com;Gutmann;Clovis;wherever
5;"17335857";er abaft;Precious4@gmail.com;Harber;Rod;untried
6;"15514313";boo vainly;Evan.Blanda44@yahoo.com;Zulauf;Edd;numb lionise
7;"13305637";tenant;Gilda86@hotmail.com;Rogahn;Anastacio;among deliberately briefly
8;"56549334";view once lumpy;Leland.Dickens@yahoo.com;Homenick;Brando;nor finish
9;"29022624";athwart when impinge;Russel26@hotmail.com;Osinski;Nedra;when clunk against
10;"51758856";awful towards;Francesca_Hagenes@gmail.com;Weissnat;Reese;boo
