id;cin;num_teacher;email;last_name;first_name
1;"79142266";peaceful off;Randy.Hilll@gmail.com;Grant;Eloisa
2;"42742755";whoa;Sam_Leffler46@yahoo.com;Heathcote;Yasmine
3;"01047924";ick;Tyler_Lueilwitz@gmail.com;Osinski;Marcos
4;"45483143";but bold throughout;Jared_Schultz@yahoo.com;Stoltenberg;Madeline
5;"06907773";bland;Haylie.Price60@hotmail.com;Towne;Percy
6;"83820475";which along;Madelyn.Hamill74@yahoo.com;Gibson;Kali
7;"45073806";apropos vainly;Orlo54@yahoo.com;Hessel;Cleve
8;"62847982";shyly selfish atop;Lennie.Hahn33@hotmail.com;Brakus;Jasper
9;"03106430";weather wonderfully;Nicholaus.Wilderman68@hotmail.com;Yost;Rosalinda
10;"68827048";arctic gear melatonin;Dino_Rau70@yahoo.com;Mohr;Marley
